,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Amapa,75,HN,1563659108,55,15.09,-87.97,91.4,12.75
375,Shingu,100,JP,1563658740,97,33.72,135.99,69.64,5.39
376,Karwar,99,IN,1563659110,87,14.8,74.13,79.0,15.3
377,Korem,26,ET,1563659112,70,12.51,39.52,60.82,11.79
378,Russell,1,US,1563659113,27,38.9,-98.86,102.99,16.11
379,Turukhansk,0,RU,1563659114,58,65.8,87.96,54.88,7.0
380,Tlacote el Bajo,75,MX,1563659116,34,20.66,-100.51,78.8,5.03
381,Praia da Vitoria,20,PT,1563658856,73,38.73,-27.07,77.0,14.92
382,Chapais,90,CA,1563658911,88,49.78,-74.86,64.4,4.7
383,Bar Harbor,90,US,1563658858,66,44.39,-68.2,93.0,11.41
384,Kavaratti,99,IN,1563658816,80,10.57,72.64,81.34,26.73
385,Mackay,20,CA,1563659121,56,53.65,-115.58,69.8,4.7
386,Hays,1,US,1563658925,35,38.88,-99.33,107.01,16.11
387,Moose Factory,90,CA,1563659123,82,51.26,-80.61,57.2,11.41
388,Saldanha,0,PT,1563658657,47,41.42,-6.55,72.88,7.74
389,Mbaiki,91,CF,1563659126,95,3.87,17.99,69.46,0.58
390,Berezovyy,100,RU,1563659127,98,51.67,135.7,60.1,1.41
391,Podgornoye,0,RU,1563659128,61,57.79,82.64,51.64,4.5
392,Zharkovskiy,0,RU,1563659129,96,55.85,32.27,55.6,4.29
393,Knysna,11,ZA,1563658906,65,-34.04,23.05,41.0,4.7
394,Darab,0,IR,1563659132,12,28.75,54.55,74.14,6.71
395,Vidim,0,CZ,1563659058,53,50.47,14.53,75.99,9.17
396,Pauri,0,IN,1563659134,87,30.15,78.78,71.62,4.03
397,Alibag,90,IN,1563659135,94,18.64,72.88,80.6,3.87
398,Kolyvan,40,RU,1563659136,93,55.31,82.74,55.4,4.47
399,Baie-Saint-Paul,49,CA,1563659137,57,47.44,-70.51,84.99,8.99
400,Norman Wells,75,CA,1563658616,53,65.28,-126.83,77.0,6.93
401,Karlskoga,78,SE,1563659140,60,59.33,14.52,68.0,5.82
402,Zemio,48,CF,1563659141,96,5.02,25.13,67.66,3.09
403,Obala,40,CM,1563659142,100,4.17,11.53,69.8,5.82
404,Huaicheng,88,CN,1563659143,88,23.91,112.19,78.1,0.34
405,Indiana,75,US,1563659145,63,40.62,-79.15,93.99,8.05
406,Huanuco,20,PE,1563658943,44,-9.93,-76.24,77.0,10.29
407,Marsa Matruh,0,EG,1563659147,61,31.35,27.25,78.8,8.05
408,Road Town,40,VG,1563659000,70,18.42,-64.62,86.0,6.93
409,Gornopravdinsk,50,RU,1563659149,68,60.06,69.92,64.42,2.82
410,Ladushkin,10,RU,1563659151,93,54.57,20.17,57.2,2.24
411,Sainte-Maxime,0,FR,1563659152,88,43.31,6.64,77.0,2.24
412,Moyale,0,ET,1563659153,64,3.52,39.05,70.0,4.38
413,Hearst,62,CA,1563659154,60,49.69,-83.67,71.26,8.37
414,Zahirabad,100,IN,1563659156,86,17.68,77.61,75.58,8.57
415,Tura,0,RU,1563658983,70,64.27,100.22,49.3,2.8
416,Kattivakkam,20,IN,1563659158,74,13.22,80.32,86.0,8.05
417,The Pas,75,CA,1563659048,45,53.82,-101.24,66.2,4.7
418,Half Moon Bay,90,US,1563658891,77,37.46,-122.43,81.0,8.05
419,San Joaquin,56,PH,1563659161,89,10.59,122.14,75.58,2.84
420,Atkarsk,0,RU,1563659162,88,51.88,45.01,59.74,7.23
421,Mandalgovi,100,MN,1563659163,43,45.76,106.27,68.38,14.56
422,Puerto Quijarro,20,BO,1563659165,54,-19.0,-57.72,84.2,10.29
423,Fatehabad,32,IN,1563659166,45,27.03,78.3,93.04,5.79
424,Quime,77,BO,1563659167,58,-16.98,-67.22,44.26,5.1
425,Anadyr,75,RU,1563659168,93,64.73,177.51,60.01,13.42
426,Ambilobe,99,MG,1563659169,75,-13.19,49.05,74.68,2.21
427,Igarka,0,RU,1563659885,66,67.47,86.57,56.32,7.23
428,Rio Gallegos,0,AR,1563659885,48,-51.62,-69.22,41.0,18.34
429,Bambanglipuro,100,ID,1563659888,88,-7.95,110.28,75.76,13.51
430,Hecun,85,CN,1563659889,94,29.94,119.31,71.44,0.31
431,Magaria,12,NE,1563659890,44,13.0,8.91,85.84,12.46
432,Shache,2,CN,1563659891,19,38.42,77.24,84.4,15.57
433,Cap-aux-Meules,20,CA,1563659892,77,47.38,-61.86,69.8,3.36
434,Takoradi,65,GH,1563659894,92,4.89,-1.75,74.32,4.61
435,Ranot,100,TH,1563659895,88,7.78,100.32,76.12,4.47
436,Nikel,42,NO,1563659896,87,69.41,30.21,53.6,9.17
437,Keflavik,40,IS,1563659897,67,64.0,-22.56,64.4,5.82
438,Amazar,100,RU,1563659898,98,53.86,120.88,55.6,8.14
439,Lompoc,1,US,1563659900,44,34.64,-120.46,78.8,11.41
440,Padang,100,ID,1563659901,77,-0.92,100.36,81.16,4.05
441,San Cristobal,48,HN,1563659902,44,14.68,-86.92,84.58,13.89
442,San Cosme y Damian,0,PY,1563659903,61,-27.32,-56.35,78.8,8.05
443,Moundou,68,TD,1563659905,86,8.57,16.07,72.88,3.76
444,Rock Sound,65,BS,1563659906,76,24.9,-76.2,82.96,12.97
445,Ketchikan,40,US,1563659907,63,55.34,-131.65,66.2,12.75
446,Flinders,0,AU,1563659908,65,-34.58,150.85,57.99,4.7
447,Springfield,75,US,1563659673,59,42.1,-72.59,97.0,10.29
448,Jati,0,PK,1563659910,70,24.35,68.27,83.68,12.19
449,Zhangye,100,CN,1563659912,44,38.94,100.46,67.84,12.82
450,Solnechnyy,100,RU,1563659913,98,50.72,136.64,64.06,2.53
451,Papara,75,BR,1563659914,74,-3.98,-38.73,86.0,12.75
452,Manaure,0,CO,1563659915,73,11.78,-72.45,82.6,32.19
453,Omagh,40,GB,1563659916,87,54.6,-7.3,59.0,3.36
454,Fort Nelson,40,CA,1563659918,44,58.81,-122.69,78.8,5.82
455,Shemonaikha,0,KZ,1563659919,90,50.63,81.92,60.1,3.06
456,Boa Vista,40,BR,1563659920,69,2.82,-60.67,82.4,5.82
457,Kimbe,100,PG,1563659921,91,-5.56,150.15,73.96,3.44
458,Leh,0,IN,1563659922,31,34.16,77.58,42.46,1.21
459,Kargat,0,RU,1563659924,73,55.19,80.28,55.42,7.63
460,Emerald,0,AU,1563659925,87,-23.53,148.16,51.8,6.4
461,Port Hueneme,40,US,1563659926,68,34.15,-119.2,84.99,11.41
462,Luchow,100,DE,1563659927,93,52.97,11.15,64.0,3.36
463,Janauba,97,BR,1563659929,93,-1.63,-45.47,75.76,3.78
464,Axim,93,GH,1563659930,90,4.87,-2.24,76.3,9.89
465,Pimentel,60,BR,1563659931,82,-3.7,-45.5,77.02,3.91
466,Hampton,75,US,1563659932,46,32.88,-81.13,95.0,5.82
467,Taoudenni,54,ML,1563659933,9,22.68,-3.98,108.34,14.05
468,Komsomolskiy,98,RU,1563659935,82,67.55,63.78,56.32,7.25
469,Merauke,9,ID,1563659936,76,-8.49,140.4,75.76,19.17
470,Hofn,100,IS,1563659717,98,64.25,-15.21,40.3,4.52
471,Mirnyy,6,RU,1563659938,98,56.57,36.46,57.04,7.49
472,Coahuayana,100,MX,1563659939,76,18.62,-100.35,79.36,2.1
473,Hobyo,76,SO,1563659941,73,5.35,48.53,76.66,25.19
474,Ixtapa,90,MX,1563659942,66,20.71,-105.21,88.0,6.93
475,Barra do Corda,25,BR,1563659943,49,-5.5,-45.25,83.32,4.23
476,Makakilo City,40,US,1563659944,61,21.35,-158.09,87.8,10.29
477,Cabedelo,75,BR,1563659946,83,-6.97,-34.84,77.0,4.7
478,Dakar,0,SN,1563659947,74,14.69,-17.45,78.8,8.05
479,Kununurra,72,AU,1563659948,87,-15.77,128.74,53.6,2.55
480,Topchanchi,1,IN,1563659949,81,23.9,86.2,80.8,5.99
481,Riyadh,0,SA,1563659950,15,24.63,46.72,91.4,9.17
482,The Valley,40,AI,1563659829,69,18.22,-63.06,87.8,10.29
483,Waterbury,1,US,1563659708,63,41.56,-73.05,97.0,5.82
484,Asosa,90,ET,1563659954,90,10.07,34.53,65.5,3.31
485,Senno,0,RU,1563659955,93,57.76,27.95,57.2,2.24
486,Burnie,100,AU,1563659766,80,-41.05,145.91,54.0,17.0
487,Singapore,75,MY,1563659711,94,1.29,103.85,82.4,1.12
488,Gayeri,100,BF,1563659959,62,12.65,0.49,78.1,10.58
489,Prince George,90,CA,1563659945,52,53.92,-122.75,70.0,3.36
490,Sumbe,0,AO,1563659961,84,-11.2,13.84,71.62,6.89
491,Rangapara,55,IN,1563659962,92,26.82,92.69,70.72,2.42
492,Filingue,64,NE,1563659963,45,14.35,3.32,89.44,8.59
493,Caucaia,75,BR,1563659922,74,-3.73,-38.66,86.0,12.75
494,Vila,0,IT,1563659965,73,45.18,8.4,80.01,5.82
495,Malatya,0,TR,1563659967,47,38.35,38.32,75.2,4.7
496,Gazojak,3,TM,1563659968,23,41.19,61.4,93.04,16.53
497,Ouesso,90,CG,1563659969,91,1.61,16.05,71.8,0.27
498,Chara,0,GR,1563659970,49,39.42,22.43,78.01,2.21
499,San Patricio,50,PY,1563659972,81,-26.98,-56.83,71.26,7.65
500,Kirkuk,0,IQ,1563659973,15,35.47,44.4,87.82,6.53
501,Guozhen,76,CN,1563659974,77,29.3,113.14,79.54,1.5
502,Juba,0,EE,1563659975,93,57.82,26.93,57.99,1.12
503,Manacapuru,40,BR,1563659977,52,-3.3,-60.62,87.8,12.75
504,Beipiao,100,CN,1563659978,67,41.8,120.76,73.96,8.7
505,Turmalina,30,BR,1563659979,68,-17.29,-42.73,63.88,10.67
506,Port Blair,93,IN,1563659980,82,11.67,92.75,80.98,10.69
507,Coihueco,90,CL,1563659981,87,-36.63,-71.83,55.0,17.22
508,Necochea,100,AR,1563659983,89,-38.55,-58.74,57.0,13.0
509,Collie,82,AU,1563659984,64,-33.36,116.15,57.99,9.31
510,Nelson Bay,0,AU,1563659985,93,-32.72,152.14,48.0,4.7
511,Magalia,1,US,1563659921,33,39.81,-121.58,89.6,3.36
512,Duluth,1,US,1563659868,50,46.77,-92.13,80.01,6.93
513,Nouakchott,0,MR,1563659989,78,18.08,-15.98,78.8,9.17
514,Mitu,43,IR,1563659990,45,36.2,46.09,67.66,0.89
515,Spokane,75,US,1563659991,25,47.66,-117.42,79.0,3.36
516,Nago,0,IT,1563659992,61,45.88,10.89,80.6,3.36
517,Dekar,0,BW,1563659993,15,-21.53,21.93,54.16,7.61
518,Goma,100,CD,1563659995,95,-1.67,29.23,56.68,1.52
519,Luganville,75,VU,1563659996,78,-15.51,167.18,75.2,6.93
520,Halifax,40,CA,1563659978,58,44.65,-63.58,89.01,11.41
521,Ambon,0,FR,1563659998,88,47.55,-2.56,66.0,5.82
522,Mudgee,0,AU,1563659734,92,-32.6,149.59,26.6,1.21
523,Nizhniy Baskunchak,0,RU,1563660000,41,48.22,46.83,74.86,6.24
524,Tokur,100,RU,1563660002,99,53.13,132.9,54.16,4.38
525,Willowmore,39,ZA,1563660003,82,-33.3,23.49,35.44,4.74
526,Naze,71,NG,1563660004,94,5.43,7.07,72.88,3.85
527,Chicama,0,PE,1563660008,77,-7.84,-79.15,66.2,9.17
528,Benton Harbor,90,US,1563660011,88,42.12,-86.45,95.0,12.75
529,Onega,100,RU,1563660012,84,63.91,38.09,51.28,8.3
530,Baligang,100,CN,1563660015,92,46.66,125.3,73.96,10.02
